	qml_model	noise_model	probability|miscalibration	aml_attack	epsilon	accuracy
202	pqc	phase-damping	0.06	fgsm	0.7	34.78260934352875
203	pqc	phase-damping	0.06	fgsm	0.9	35.40372550487518
204	pqc	phase-damping	0.06	pgd	0.1	48.447203636169434
205	pqc	phase-damping	0.06	pgd	0.3	33.54037404060364
206	pqc	phase-damping	0.06	pgd	0.5	34.16149020195007
207	pqc	phase-damping	0.06	pgd	0.7	34.78260934352875
208	pqc	phase-damping	0.06	pgd	0.9	38.509318232536316
209	pqc	phase-damping	0.08	none	0	63.35403726708074
210	pqc	phase-damping	0.08	fgsm	0.1	51.552796363830566
211	pqc	phase-damping	0.08	fgsm	0.3	32.91925489902496
212	pqc	phase-damping	0.08	fgsm	0.5	32.91925489902496
213	pqc	phase-damping	0.08	fgsm	0.7	33.54037404060364
214	pqc	phase-damping	0.08	fgsm	0.9	35.40372550487518
215	pqc	phase-damping	0.08	pgd	0.1	50.31055808067322
216	pqc	phase-damping	0.08	pgd	0.3	34.16149020195007
217	pqc	phase-damping	0.08	pgd	0.5	33.54037404060364
218	pqc	phase-damping	0.08	pgd	0.7	38.509318232536316
219	pqc	phase-damping	0.08	pgd	0.9	40.993788838386536
220	pqc	phase-damping	0.1	none	0	59.006211180124225
221	pqc	phase-damping	0.1	fgsm	0.1	49.68944191932678
222	pqc	phase-damping	0.1	fgsm	0.3	32.91925489902496
223	pqc	phase-damping	0.1	fgsm	0.5	32.91925489902496
224	pqc	phase-damping	0.1	fgsm	0.7	32.91925489902496
225	pqc	phase-damping	0.1	fgsm	0.9	36.64596378803253
226	pqc	phase-damping	0.1	pgd	0.1	49.68944191932678
227	pqc	phase-damping	0.1	pgd	0.3	33.54037404060364
228	pqc	phase-damping	0.1	pgd	0.5	31.677019596099854
229	pqc	phase-damping	0.1	pgd	0.7	35.40372550487518
230	pqc	phase-damping	0.1	pgd	0.9	37.88819909095764
231	pqc	phase-flip	0.02	none	0	60.86956521739131
232	pqc	phase-flip	0.02	fgsm	0.1	50.31055808067322
233	pqc	phase-flip	0.02	fgsm	0.3	32.91925489902496
234	pqc	phase-flip	0.02	fgsm	0.5	33.54037404060364
235	pqc	phase-flip	0.02	fgsm	0.7	34.16149020195007
236	pqc	phase-flip	0.02	fgsm	0.9	32.91925489902496
237	pqc	phase-flip	0.02	pgd	0.1	45.962733030319214
238	pqc	phase-flip	0.02	pgd	0.3	31.05590045452118
239	pqc	phase-flip	0.02	pgd	0.5	33.54037404060364
240	pqc	phase-flip	0.02	pgd	0.7	32.91925489902496
241	pqc	phase-flip	0.02	pgd	0.9	32.29813575744629
242	pqc	phase-flip	0.04	none	0	44.099378881987576
243	pqc	phase-flip	0.04	fgsm	0.1	54.65838313102722
244	pqc	phase-flip	0.04	fgsm	0.3	59.0062141418457
245	pqc	phase-flip	0.04	fgsm	0.5	59.0062141418457
246	pqc	phase-flip	0.04	fgsm	0.7	57.763975858688354
247	pqc	phase-flip	0.04	fgsm	0.9	54.65838313102722
248	pqc	phase-flip	0.04	pgd	0.1	50.93167424201965
249	pqc	phase-flip	0.04	pgd	0.3	51.552796363830566
250	pqc	phase-flip	0.04	pgd	0.5	59.62733030319214
251	pqc	phase-flip	0.04	pgd	0.7	52.173912525177
252	pqc	phase-flip	0.04	pgd	0.9	51.552796363830566
253	pqc	phase-flip	0.06	none	0	44.099378881987576
254	pqc	phase-flip	0.06	fgsm	0.1	50.93167424201965
255	pqc	phase-flip	0.06	fgsm	0.3	61.49068474769592
256	pqc	phase-flip	0.06	fgsm	0.5	55.90062141418457
257	pqc	phase-flip	0.06	fgsm	0.7	54.65838313102722
258	pqc	phase-flip	0.06	fgsm	0.9	55.90062141418457
259	pqc	phase-flip	0.06	pgd	0.1	47.204968333244324
260	pqc	phase-flip	0.06	pgd	0.3	49.68944191932678
261	pqc	phase-flip	0.06	pgd	0.5	58.38509202003479
262	pqc	phase-flip	0.06	pgd	0.7	52.173912525177
263	pqc	phase-flip	0.06	pgd	0.9	54.037266969680786
264	pqc	phase-flip	0.08	none	0	44.099378881987576
265	pqc	phase-flip	0.08	fgsm	0.1	50.93167424201965
266	pqc	phase-flip	0.08	fgsm	0.3	61.49068474769592
267	pqc	phase-flip	0.08	fgsm	0.5	55.279505252838135
268	pqc	phase-flip	0.08	fgsm	0.7	54.65838313102722
269	pqc	phase-flip	0.08	fgsm	0.9	55.90062141418457
270	pqc	phase-flip	0.08	pgd	0.1	47.204968333244324
271	pqc	phase-flip	0.08	pgd	0.3	49.68944191932678
272	pqc	phase-flip	0.08	pgd	0.5	58.38509202003479
